coin,action,price,balance,profit
shiba-inu,buy,1.2532842447399162e-05,42.79,0
shiba-inu,sell,1.249139222636586e-05,42.77,-0.02
shiba-inu,buy,1.2459060599212535e-05,38.5,0
shiba-inu,buy,1.2461607184377499e-05,34.65,0
shiba-inu,buy,1.246393185283523e-05,31.18,0
shiba-inu,sell,1.242490361619275e-05,31.17,-0.01
shiba-inu,buy,1.242490361619275e-05,28.05,0
shiba-inu,sell,1.2379511645121966e-05,28.03,-0.03
shiba-inu,sell,1.2379511645121966e-05,28.0,-0.03
shiba-inu,sell,1.2379511645121966e-05,27.99,-0.01
shiba-inu,buy,1.2379511645121966e-05,25.19,0
shiba-inu,buy,1.243738915945869e-05,22.67,0
shiba-inu,buy,1.2406581845425535e-05,20.41,0
shiba-inu,sell,1.2455732758098748e-05,20.42,0.02
shiba-inu,buy,1.2455732758098748e-05,18.38,0
shiba-inu,sell,1.2601446542248596e-05,18.41,0.03
shiba-inu,sell,1.2601446542248596e-05,18.45,0.04
shiba-inu,sell,1.2601446542248596e-05,18.47,0.02
shiba-inu,buy,1.2601446542248596e-05,16.63,0
shiba-inu,sell,1.269774202228291e-05,16.64,0.01
bitcoin,buy,106195.125,900.0,0
bitcoin,buy,106365.0703125,810.0,0
bitcoin,buy,106338.0859375,729.0,0
bitcoin,buy,106200.3359375,656.1,0
bitcoin,buy,106381.9765625,590.49,0
bitcoin,sell,105820.59375,590.14,-0.35
bitcoin,sell,105820.59375,589.68,-0.46
bitcoin,sell,105820.59375,589.28,-0.39
bitcoin,sell,105820.59375,589.02,-0.26
bitcoin,sell,105820.59375,588.68,-0.35
bitcoin,buy,105820.59375,529.81,0
bitcoin,buy,105739.796875,476.83,0
bitcoin,buy,105745.4453125,429.14,0
bitcoin,sell,105541.859375,429.05,-0.09
bitcoin,sell,105541.859375,428.95,-0.1
bitcoin,sell,105541.859375,428.8,-0.16
bitcoin,buy,106713.3046875,385.92,0
bitcoin,buy,107242.890625,347.33,0
bitcoin,sell,107774.4609375,347.75,0.43
bitcoin,buy,107774.4609375,312.98,0
bitcoin,buy,107834.6484375,281.68,0
bitcoin,sell,107159.1875,281.48,-0.2
bitcoin,sell,107159.1875,281.29,-0.2
bitcoin,buy,107159.1875,253.16,0
bitcoin,buy,107630.5390625,227.84,0
bitcoin,buy,107748.6796875,205.06,0
bitcoin,buy,107773.015625,184.55,0
bitcoin,sell,108397.203125,184.97,0.42
bitcoin,sell,108397.203125,185.29,0.32
bitcoin,sell,108397.203125,185.47,0.18
bitcoin,sell,108397.203125,185.61,0.14
bitcoin,buy,108397.203125,167.05,0
bitcoin,sell,108499.46875,167.19,0.14
